,verse,tsne_embedding
0,The First Book of Moses: Called Genesis,"[-11.642608642578125, 37.19331741333008]"
1,1:1 In the beginning God created the heaven and the earth.,"[-25.25911521911621, 50.65718078613281]"
2,"1:2 And the earth was without form, and void; and darkness was upon the face of
the deep. And the Spirit of God moved upon the face of the waters.","[-26.451208114624023, 47.28328323364258]"
3,"1:3 And God said, Let there be light: and there was light.","[-30.216901779174805, 49.665931701660156]"
4,"1:4 And God saw the light, that it was good: and God divided the light from the
darkness.","[-29.870094299316406, 49.865196228027344]"
5,"1:5 And God called the light Day, and the darkness he called Night. And the
evening and the morning were the first day.","[-28.356595993041992, 52.86941909790039]"
6,"1:6 And God said, Let there be a firmament in the midst of the waters, and let
it divide the waters from the waters.","[-25.921825408935547, 48.10554504394531]"
7,"1:7 And God made the firmament, and divided the waters which were under the
firmament from the waters which were above the firmament: and it was so.","[-25.943470001220703, 48.11552429199219]"
8,"1:8 And God called the firmament Heaven. And the evening and the morning were
the second day.","[-27.846378326416016, 52.553497314453125]"
9,"1:9 And God said, Let the waters under the heaven be gathered together unto one
place, and let the dry land appear: and it was so.","[-24.725608825683594, 47.497684478759766]"
10,"1:10 And God called the dry land Earth; and the gathering together of the
waters called he Seas: and God saw that it was good.","[-24.971519470214844, 47.037330627441406]"
11,"1:11 And God said, Let the earth bring forth grass, the herb yielding seed, and
the fruit tree yielding fruit after his kind, whose seed is in itself, upon the
earth: and it was so.","[-27.029573440551758, 37.23423385620117]"
12,"1:12 And the earth brought forth grass, and herb yielding seed after his kind,
and the tree yielding fruit, whose seed was in itself, after his kind: and God
saw that it was good.","[-26.984861373901367, 37.13631057739258]"
13,1:13 And the evening and the morning were the third day.,"[-27.7997989654541, 56.812164306640625]"
14,"1:14 And God said, Let there be lights in the firmament of the heaven to divide
the day from the night; and let them be for signs, and for seasons, and for
days, and years: 1:15 And let them be for lights in the firmament of the heaven
to give light upon the earth: and it was so.","[-29.428781509399414, 51.193809509277344]"
15,"1:16 And God made two great lights; the greater light to rule the day, and the
lesser light to rule the night: he made the stars also.","[-30.030614852905273, 51.51182556152344]"
16,"1:17 And God set them in the firmament of the heaven to give light upon the
earth, 1:18 And to rule over the day and over the night, and to divide the
light from the darkness: and God saw that it was good.","[-29.32464599609375, 50.86689376831055]"
17,1:19 And the evening and the morning were the fourth day.,"[-27.909101486206055, 56.611812591552734]"
18,"1:20 And God said, Let the waters bring forth abundantly the moving creature
that hath life, and fowl that may fly above the earth in the open firmament of
heaven.","[-21.085481643676758, 39.815486907958984]"
19,"1:21 And God created great whales, and every living creature that moveth, which
the waters brought forth abundantly, after their kind, and every winged fowl
after his kind: and God saw that it was good.","[-21.57073402404785, 39.20194625854492]"
20,"1:22 And God blessed them, saying, Be fruitful, and multiply, and fill the
waters in the seas, and let fowl multiply in the earth.","[-17.65586280822754, 37.698829650878906]"
21,1:23 And the evening and the morning were the fifth day.,"[-28.113439559936523, 56.35395050048828]"
22,"1:24 And God said, Let the earth bring forth the living creature after his
kind, cattle, and creeping thing, and beast of the earth after his kind: and it
was so.","[-21.510915756225586, 37.824031829833984]"
23,"1:25 And God made the beast of the earth after his kind, and cattle after their
kind, and every thing that creepeth upon the earth after his kind: and God saw
that it was good.","[-21.565366744995117, 37.86627197265625]"
24,"1:26 And God said, Let us make man in our image, after our likeness: and let
them have dominion over the fish of the sea, and over the fowl of the air, and
over the cattle, and over all the earth, and over every creeping thing that
creepeth upon the earth.","[-19.6522159576416, 36.315486907958984]"
25,"1:27 So God created man in his own image, in the image of God created he him;
male and female created he them.","[-19.883350372314453, 35.21630859375]"
26,"1:28 And God blessed them, and God said unto them, Be fruitful, and multiply,
and replenish the earth, and subdue it: and have dominion over the fish of the
sea, and over the fowl of the air, and over every living thing that moveth upon
the earth.","[-18.11998748779297, 37.45700454711914]"
27,"1:29 And God said, Behold, I have given you every herb bearing seed, which is
upon the face of all the earth, and every tree, in the which is the fruit of a
tree yielding seed; to you it shall be for meat.","[-27.908580780029297, 37.81489181518555]"
28,"1:30 And to every beast of the earth, and to every fowl of the air, and to
every thing that creepeth upon the earth, wherein there is life, I have given
every green herb for meat: and it was so.","[-28.446128845214844, 38.73186111450195]"
29,"1:31 And God saw every thing that he had made, and, behold, it was very good.
And the evening and the morning were the sixth day.","[-28.271190643310547, 53.41465377807617]"
30,"2:1 Thus the heavens and the earth were finished, and all the host of them.","[-24.342580795288086, 50.98603820800781]"
31,"2:2 And on the seventh day God ended his work which he had made; and he rested
on the seventh day from all his work which he had made.","[-24.123056411743164, 54.96495056152344]"
32,"2:3 And God blessed the seventh day, and sanctified it: because that in it he
had rested from all his work which God created and made.","[-24.197704315185547, 55.040470123291016]"
33,"2:4 These are the generations of the heavens and of the earth when they were
created, in the day that the LORD God made the earth and the heavens, 2:5 And
every plant of the field before it was in the earth, and every herb of the
field before it grew: for the LORD God had not caused it to rain upon the
earth, and there was not a man to till the ground.","[-25.966259002685547, 36.172119140625]"
34,"2:6 But there went up a mist from the earth, and watered the whole face of the
ground.","[-21.861255645751953, 48.4013557434082]"
35,"2:7 And the LORD God formed man of the dust of the ground, and breathed into
his nostrils the breath of life; and man became a living soul.","[-25.278764724731445, 33.944149017333984]"
36,"2:8 And the LORD God planted a garden eastward in Eden; and there he put the
man whom he had formed.","[-26.347270965576172, 32.45073318481445]"
37,"2:9 And out of the ground made the LORD God to grow every tree that is pleasant
to the sight, and good for food; the tree of life also in the midst of the
garden, and the tree of knowledge of good and evil.","[-28.8189640045166, 35.80037307739258]"
38,"2:10 And a river went out of Eden to water the garden; and from thence it was
parted, and became into four heads.","[-22.464902877807617, 48.04277038574219]"
39,"2:11 The name of the first is Pison: that is it which compasseth the whole land
of Havilah, where there is gold; 2:12 And the gold of that land is good: there
is bdellium and the onyx stone.","[-33.94901657104492, 18.071067810058594]"
40,"2:13 And the name of the second river is Gihon: the same is it that compasseth
the whole land of Ethiopia.","[-33.287410736083984, 18.700258255004883]"
41,"2:14 And the name of the third river is Hiddekel: that is it which goeth toward
the east of Assyria. And the fourth river is Euphrates.","[-33.07815933227539, 18.89069366455078]"
42,"2:15 And the LORD God took the man, and put him into the garden of Eden to
dress it and to keep it.","[-26.60624885559082, 32.36707305908203]"
43,"2:16 And the LORD God commanded the man, saying, Of every tree of the garden
thou mayest freely eat: 2:17 But of the tree of the knowledge of good and evil,
thou shalt not eat of it: for in the day that thou eatest thereof thou shalt
surely die.","[-30.054136276245117, 35.45478820800781]"
44,"2:18 And the LORD God said, It is not good that the man should be alone; I will
make him an help meet for him.","[-25.0880069732666, -11.948607444763184]"
45,"2:19 And out of the ground the LORD God formed every beast of the field, and
every fowl of the air; and brought them unto Adam to see what he would call
them: and whatsoever Adam called every living creature, that was the name
thereof.","[-22.503942489624023, 36.540462493896484]"
46,"2:20 And Adam gave names to all cattle, and to the fowl of the air, and to
every beast of the field; but for Adam there was not found an help meet for
him.","[-22.630447387695312, 35.86313247680664]"
47,"2:21 And the LORD God caused a deep sleep to fall upon Adam, and he slept: and
he took one of his ribs, and closed up the flesh instead thereof; 2:22 And the
rib, which the LORD God had taken from man, made he a woman, and brought her
unto the man.","[-22.507213592529297, 31.583534240722656]"
48,"2:23 And Adam said, This is now bone of my bones, and flesh of my flesh: she
shall be called Woman, because she was taken out of Man.","[-22.412887573242188, 31.525968551635742]"
